float_id,latitude,longitude,observation_time,depth,temperature,salinity
ARGO_AS_001,15.0,65.0,2026-08-15,0.0,28.53,35.535
ARGO_AS_001,15.0,65.0,2026-08-15,50.0,28.092,35.567
ARGO_AS_001,15.0,65.0,2026-08-15,100.0,27.644,35.602
ARGO_AS_001,15.0,65.0,2026-08-15,150.0,27.184,35.638
ARGO_AS_001,15.0,65.0,2026-08-15,200.0,26.712,35.676
ARGO_AS_001,15.0,65.0,2026-08-15,250.0,26.227,35.716
ARGO_AS_001,15.0,65.0,2026-08-15,300.0,25.728,35.757
ARGO_AS_001,15.0,65.0,2026-08-15,400.0,24.69,35.843
ARGO_AS_001,15.0,65.0,2026-08-15,500.0,23.601,35.932
ARGO_AS_001,15.0,65.0,2026-08-15,600.0,22.471,36.02
ARGO_AS_001,15.0,65.0,2026-08-15,700.0,21.307,36.108
ARGO_AS_001,15.0,65.0,2026-08-15,750.0,20.716,36.151
ARGO_AS_001,15.0,65.0,2026-08-15,850.0,19.52,36.236
ARGO_AS_001,15.0,65.0,2026-08-15,1000.0,17.69,36.365
ARGO_AS_002,13.0,68.0,2026-08-16,0.0,27.952,35.477
ARGO_AS_002,13.0,68.0,2026-08-16,50.0,27.514,35.509
ARGO_AS_002,13.0,68.0,2026-08-16,100.0,27.066,35.543
ARGO_AS_002,13.0,68.0,2026-08-16,150.0,26.606,35.579
ARGO_AS_002,13.0,68.0,2026-08-16,200.0,26.134,35.617
ARGO_AS_002,13.0,68.0,2026-08-16,250.0,25.648,35.657
ARGO_AS_002,13.0,68.0,2026-08-16,300.0,25.15,35.699
ARGO_AS_002,13.0,68.0,2026-08-16,400.0,24.112,35.784
ARGO_AS_002,13.0,68.0,2026-08-16,500.0,23.023,35.873
ARGO_AS_002,13.0,68.0,2026-08-16,600.0,21.892,35.961
ARGO_AS_002,13.0,68.0,2026-08-16,700.0,20.729,36.049
ARGO_AS_002,13.0,68.0,2026-08-16,750.0,20.138,36.092
ARGO_AS_002,13.0,68.0,2026-08-16,850.0,18.941,36.177
ARGO_AS_002,13.0,68.0,2026-08-16,1000.0,17.112,36.306
