float_id,latitude,longitude,observation_time,depth,temperature,salinity
ARGO_IO_001,-10.0,80.0,2026-08-15,0.0,26.74,34.989
ARGO_IO_001,-10.0,80.0,2026-08-15,50.0,26.341,35.024
ARGO_IO_001,-10.0,80.0,2026-08-15,100.0,25.932,35.061
ARGO_IO_001,-10.0,80.0,2026-08-15,150.0,25.512,35.1
ARGO_IO_001,-10.0,80.0,2026-08-15,200.0,25.081,35.141
ARGO_IO_001,-10.0,80.0,2026-08-15,250.0,24.638,35.183
ARGO_IO_001,-10.0,80.0,2026-08-15,300.0,24.182,35.227
ARGO_IO_001,-10.0,80.0,2026-08-15,400.0,23.232,35.317
ARGO_IO_001,-10.0,80.0,2026-08-15,500.0,22.235,35.41
ARGO_IO_001,-10.0,80.0,2026-08-15,600.0,21.198,35.504
ARGO_IO_001,-10.0,80.0,2026-08-15,700.0,20.13,35.597
ARGO_IO_001,-10.0,80.0,2026-08-15,750.0,19.587,35.644
ARGO_IO_001,-10.0,80.0,2026-08-15,850.0,18.487,35.736
ARGO_IO_001,-10.0,80.0,2026-08-15,1000.0,16.803,35.875
ARGO_IO_002,-7.0,84.0,2026-08-16,0.0,26.292,34.953
ARGO_IO_002,-7.0,84.0,2026-08-16,50.0,25.893,34.988
ARGO_IO_002,-7.0,84.0,2026-08-16,100.0,25.484,35.025
ARGO_IO_002,-7.0,84.0,2026-08-16,150.0,25.064,35.064
ARGO_IO_002,-7.0,84.0,2026-08-16,200.0,24.633,35.105
ARGO_IO_002,-7.0,84.0,2026-08-16,250.0,24.19,35.147
ARGO_IO_002,-7.0,84.0,2026-08-16,300.0,23.734,35.191
ARGO_IO_002,-7.0,84.0,2026-08-16,400.0,22.784,35.281
ARGO_IO_002,-7.0,84.0,2026-08-16,500.0,21.787,35.374
ARGO_IO_002,-7.0,84.0,2026-08-16,600.0,20.75,35.468
ARGO_IO_002,-7.0,84.0,2026-08-16,700.0,19.682,35.561
ARGO_IO_002,-7.0,84.0,2026-08-16,750.0,19.139,35.607
ARGO_IO_002,-7.0,84.0,2026-08-16,850.0,18.039,35.7
ARGO_IO_002,-7.0,84.0,2026-08-16,1000.0,16.355,35.839
