float_id,latitude,longitude,observation_time,depth,temperature,salinity
ARGO_NA_001,35.0,-45.0,2026-08-15,0.0,21.13,35.589
ARGO_NA_001,35.0,-45.0,2026-08-15,50.0,20.7,35.626
ARGO_NA_001,35.0,-45.0,2026-08-15,100.0,20.262,35.665
ARGO_NA_001,35.0,-45.0,2026-08-15,150.0,19.816,35.706
ARGO_NA_001,35.0,-45.0,2026-08-15,200.0,19.359,35.749
ARGO_NA_001,35.0,-45.0,2026-08-15,250.0,18.892,35.793
ARGO_NA_001,35.0,-45.0,2026-08-15,300.0,18.414,35.839
ARGO_NA_001,35.0,-45.0,2026-08-15,400.0,17.426,35.934
ARGO_NA_001,35.0,-45.0,2026-08-15,500.0,16.398,36.032
ARGO_NA_001,35.0,-45.0,2026-08-15,600.0,15.336,36.131
ARGO_NA_001,35.0,-45.0,2026-08-15,700.0,14.25,36.231
ARGO_NA_001,35.0,-45.0,2026-08-15,750.0,13.7,36.281
ARGO_NA_001,35.0,-45.0,2026-08-15,850.0,12.589,36.381
ARGO_NA_001,35.0,-45.0,2026-08-15,1000.0,10.897,36.532
ARGO_NA_002,38.0,-42.0,2026-08-16,0.0,20.86,35.561
ARGO_NA_002,38.0,-42.0,2026-08-16,50.0,20.431,35.599
ARGO_NA_002,38.0,-42.0,2026-08-16,100.0,19.993,35.638
ARGO_NA_002,38.0,-42.0,2026-08-16,150.0,19.546,35.678
ARGO_NA_002,38.0,-42.0,2026-08-16,200.0,19.089,35.721
ARGO_NA_002,38.0,-42.0,2026-08-16,250.0,18.622,35.766
ARGO_NA_002,38.0,-42.0,2026-08-16,300.0,18.144,35.811
ARGO_NA_002,38.0,-42.0,2026-08-16,400.0,17.156,35.906
ARGO_NA_002,38.0,-42.0,2026-08-16,500.0,16.128,36.004
ARGO_NA_002,38.0,-42.0,2026-08-16,600.0,15.067,36.104
ARGO_NA_002,38.0,-42.0,2026-08-16,700.0,13.98,36.203
ARGO_NA_002,38.0,-42.0,2026-08-16,750.0,13.43,36.253
ARGO_NA_002,38.0,-42.0,2026-08-16,850.0,12.319,36.353
ARGO_NA_002,38.0,-42.0,2026-08-16,1000.0,10.627,36.505
